score,max_leverage,credit_spread_kd,debt_tenor_months,min_dscr,customer_credit,tenor_y,top,prepay,backstop,concentration
0.61,0.45,0.085,48,1.35,IG,3,0.8,0.0,False,0.4
0.71,0.55,0.07,60,1.3,IG,3,0.8,0.0,True,0.4
0.7,0.55,0.07,60,1.3,IG,3,0.8,0.15,False,0.4
0.8,0.7,0.059,60,1.25,IG,3,0.8,0.15,True,0.4
0.76,0.55,0.07,60,1.3,IG,3,0.8,0.25,False,0.4
0.86,0.7,0.059,60,1.25,IG,3,0.8,0.25,True,0.4
0.64,0.45,0.085,48,1.35,IG,3,0.95,0.0,False,0.4
0.74,0.55,0.07,60,1.3,IG,3,0.95,0.0,True,0.4
0.73,0.55,0.07,60,1.3,IG,3,0.95,0.15,False,0.4
0.83,0.7,0.059,60,1.25,IG,3,0.95,0.15,True,0.4
0.79,0.55,0.07,60,1.3,IG,3,0.95,0.25,False,0.4
0.89,0.7,0.059,60,1.25,IG,3,0.95,0.25,True,0.4
0.69,0.55,0.07,60,1.3,IG,5,0.8,0.0,False,0.4
0.79,0.55,0.07,60,1.3,IG,5,0.8,0.0,True,0.4
0.78,0.55,0.07,60,1.3,IG,5,0.8,0.15,False,0.4
0.88,0.7,0.059,60,1.25,IG,5,0.8,0.15,True,0.4
0.84,0.7,0.059,60,1.25,IG,5,0.8,0.25,False,0.4
0.94,0.7,0.059,60,1.25,IG,5,0.8,0.25,True,0.4
0.72,0.55,0.07,60,1.3,IG,5,0.95,0.0,False,0.4
0.82,0.7,0.059,60,1.25,IG,5,0.95,0.0,True,0.4
0.81,0.7,0.059,60,1.25,IG,5,0.95,0.15,False,0.4
0.91,0.7,0.059,60,1.25,IG,5,0.95,0.15,True,0.4
0.87,0.7,0.059,60,1.25,IG,5,0.95,0.25,False,0.4
0.97,0.7,0.059,60,1.25,IG,5,0.95,0.25,True,0.4
0.49,0.35,0.095,48,1.4,HY,3,0.8,0.0,False,0.4
0.59,0.45,0.085,48,1.35,HY,3,0.8,0.0,True,0.4
0.58,0.45,0.085,48,1.35,HY,3,0.8,0.15,False,0.4
0.68,0.55,0.07,60,1.3,HY,3,0.8,0.15,True,0.4
0.64,0.45,0.085,48,1.35,HY,3,0.8,0.25,False,0.4
0.74,0.55,0.07,60,1.3,HY,3,0.8,0.25,True,0.4
0.52,0.45,0.085,48,1.35,HY,3,0.95,0.0,False,0.4
0.62,0.45,0.085,48,1.35,HY,3,0.95,0.0,True,0.4
0.61,0.45,0.085,48,1.35,HY,3,0.95,0.15,False,0.4
0.71,0.55,0.07,60,1.3,HY,3,0.95,0.15,True,0.4
0.67,0.55,0.07,60,1.3,HY,3,0.95,0.25,False,0.4
0.77,0.55,0.07,60,1.3,HY,3,0.95,0.25,True,0.4
0.57,0.45,0.085,48,1.35,HY,5,0.8,0.0,False,0.4
0.67,0.55,0.07,60,1.3,HY,5,0.8,0.0,True,0.4
0.66,0.55,0.07,60,1.3,HY,5,0.8,0.15,False,0.4
0.76,0.55,0.07,60,1.3,HY,5,0.8,0.15,True,0.4
0.72,0.55,0.07,60,1.3,HY,5,0.8,0.25,False,0.4
0.82,0.7,0.059,60,1.25,HY,5,0.8,0.25,True,0.4
0.6,0.45,0.085,48,1.35,HY,5,0.95,0.0,False,0.4
0.7,0.55,0.07,60,1.3,HY,5,0.95,0.0,True,0.4
0.69,0.55,0.07,60,1.3,HY,5,0.95,0.15,False,0.4
0.79,0.55,0.07,60,1.3,HY,5,0.95,0.15,True,0.4
0.75,0.55,0.07,60,1.3,HY,5,0.95,0.25,False,0.4
0.85,0.7,0.059,60,1.25,HY,5,0.95,0.25,True,0.4
0.4,0.35,0.095,48,1.4,Spec,3,0.8,0.0,False,0.4
0.5,0.45,0.085,48,1.35,Spec,3,0.8,0.0,True,0.4
0.49,0.35,0.095,48,1.4,Spec,3,0.8,0.15,False,0.4
0.59,0.45,0.085,48,1.35,Spec,3,0.8,0.15,True,0.4
0.55,0.45,0.085,48,1.35,Spec,3,0.8,0.25,False,0.4
0.65,0.55,0.07,60,1.3,Spec,3,0.8,0.25,True,0.4
0.43,0.35,0.095,48,1.4,Spec,3,0.95,0.0,False,0.4
0.53,0.45,0.085,48,1.35,Spec,3,0.95,0.0,True,0.4
0.52,0.45,0.085,48,1.35,Spec,3,0.95,0.15,False,0.4
0.62,0.45,0.085,48,1.35,Spec,3,0.95,0.15,True,0.4
0.58,0.45,0.085,48,1.35,Spec,3,0.95,0.25,False,0.4
0.68,0.55,0.07,60,1.3,Spec,3,0.95,0.25,True,0.4
0.48,0.35,0.095,48,1.4,Spec,5,0.8,0.0,False,0.4
0.58,0.45,0.085,48,1.35,Spec,5,0.8,0.0,True,0.4
0.57,0.45,0.085,48,1.35,Spec,5,0.8,0.15,False,0.4
0.67,0.55,0.07,60,1.3,Spec,5,0.8,0.15,True,0.4
0.63,0.45,0.085,48,1.35,Spec,5,0.8,0.25,False,0.4
0.73,0.55,0.07,60,1.3,Spec,5,0.8,0.25,True,0.4
0.51,0.45,0.085,48,1.35,Spec,5,0.95,0.0,False,0.4
0.61,0.45,0.085,48,1.35,Spec,5,0.95,0.0,True,0.4
0.6,0.45,0.085,48,1.35,Spec,5,0.95,0.15,False,0.4
0.7,0.55,0.07,60,1.3,Spec,5,0.95,0.15,True,0.4
0.66,0.55,0.07,60,1.3,Spec,5,0.95,0.25,False,0.4
0.76,0.55,0.07,60,1.3,Spec,5,0.95,0.25,True,0.4
