purchase_per_gpu,rate_gpuh,capex_it_kw,npv_musd,project_irr,peak
25000,2.0,13325.0,-2024.8,-0.2769,3204.4
25000,3.0,13325.0,-1938.1,-0.2656,3088.0
25000,4.0,13325.0,-1852.5,-0.2537,3009.6
25000,5.0,13325.0,-1767.5,-0.2413,2932.4
25000,6.0,13325.0,-1687.3,-0.2297,2856.0
25000,7.8,13325.0,-1550.6,-0.2094,2719.9
25000,9.36,13325.0,-1432.8,-0.1904,2602.8
32000,2.0,17056.0,-2352.5,-0.2897,3760.5
32000,3.0,17056.0,-2265.5,-0.2801,3644.3
32000,4.0,17056.0,-2179.6,-0.2701,3565.1
32000,5.0,17056.0,-2094.4,-0.2597,3487.4
32000,6.0,17056.0,-2011.9,-0.2495,3410.5
32000,7.8,17056.0,-1874.9,-0.2326,3273.7
32000,9.36,17056.0,-1756.7,-0.217,3156.1
40000,2.0,21320.0,-2727.3,-0.3008,4396.6
40000,3.0,21320.0,-2639.8,-0.2927,4280.4
40000,4.0,21320.0,-2553.6,-0.2843,4200.2
40000,5.0,21320.0,-2468.1,-0.2755,4121.7
40000,6.0,21320.0,-2383.0,-0.2665,4044.4
40000,7.8,21320.0,-2245.5,-0.2524,3906.8
40000,9.36,21320.0,-2127.2,-0.2395,3788.7
50000,2.0,26650.0,-3196.2,-0.3113,5192.7
50000,3.0,26650.0,-3107.8,-0.3045,5075.9
50000,4.0,26650.0,-3021.1,-0.2975,4994.8
50000,5.0,26650.0,-2935.4,-0.2902,4915.5
50000,6.0,26650.0,-2850.1,-0.2827,4837.4
50000,7.8,26650.0,-2709.1,-0.2707,4698.9
50000,9.36,26650.0,-2590.4,-0.2601,4580.0
60000,2.0,31980.0,-3666.0,-0.3193,5989.8
60000,3.0,31980.0,-3575.9,-0.3134,5872.2
60000,4.0,31980.0,-3488.9,-0.3074,5789.8
60000,5.0,31980.0,-3402.8,-0.3012,5709.6
60000,6.0,31980.0,-3317.3,-0.2948,5630.9
60000,7.8,31980.0,-3173.0,-0.2842,5491.2
60000,9.36,31980.0,-3053.9,-0.2753,5371.8
80000,2.0,42640.0,-4605.4,-0.3307,7585.9
80000,3.0,42640.0,-4512.6,-0.326,7465.8
80000,4.0,42640.0,-4424.8,-0.3214,7381.1
80000,5.0,42640.0,-4338.1,-0.3166,7299.2
80000,6.0,42640.0,-4252.1,-0.3117,7219.1
80000,7.8,42640.0,-4101.2,-0.3029,7077.3
80000,9.36,42640.0,-3981.5,-0.2962,6956.6
