pC,pS,ev_pursue_C,ev_pursue_S,better_than_L3_C,better_than_L3_S
0.05,0.0,-2796.3,-2826.3,False,False
0.05,0.1,-2796.3,-2823.7,False,False
0.05,0.3,-2796.3,-2818.4,False,False
0.05,0.6,-2796.3,-2810.6,False,False
0.05,1.0,-2796.3,-2800.1,False,False
0.15,0.0,-2002.9,-2032.9,False,False
0.15,0.1,-2002.9,-2025.0,False,False
0.15,0.3,-2002.9,-2009.3,False,False
0.15,0.6,-2002.9,-1985.8,False,False
0.15,1.0,-2002.9,-1954.4,False,False
0.3,0.0,-812.8,-842.8,False,False
0.3,0.1,-812.8,-827.1,False,False
0.3,0.3,-812.8,-795.7,False,False
0.3,0.6,-812.8,-748.5,False,False
0.3,1.0,-812.8,-685.7,False,False
0.5,0.0,774.1,744.1,True,True
0.5,0.1,774.1,770.2,True,True
0.5,0.3,774.1,822.6,True,True
0.5,0.6,774.1,901.1,True,True
0.5,1.0,774.1,1005.8,True,True
0.8,0.0,3154.3,3124.3,True,True
0.8,0.1,3154.3,3166.2,True,True
0.8,0.3,3154.3,3249.9,True,True
0.8,0.6,3154.3,3375.6,True,True
0.8,1.0,3154.3,3543.1,True,True
1.0,0.0,4741.1,4711.1,True,True
1.0,0.1,4741.1,4763.5,True,True
1.0,0.3,4741.1,4868.1,True,True
1.0,0.6,4741.1,5025.2,True,True
1.0,1.0,4741.1,5234.6,True,True
