tag,year,revenue_musd,opex_musd,ebitda_musd,capex_musd,avg_rate_gpuh,project_fcf_musd
C1,1,3321.4,37.66,3283.74,2558.4,9.36,725.34
C1,2,3321.4,45.66,3275.74,0.0,9.36,3275.74
C1,3,3321.4,49.33,3272.07,0.0,9.36,3272.07
C1,4,3321.4,49.33,3272.07,0.0,9.36,3272.07
C1,5,3321.4,49.33,3272.07,0.0,9.36,3272.07
C1,6,0.0,0.0,0.0,0.0,9.36,0.0
C2,1,2417.61,37.66,2379.95,2558.4,6.813,-178.45
C2,2,1150.59,45.66,1104.93,0.0,3.2425,1104.93
C2,3,547.59,49.33,498.26,0.0,1.5432,498.26
C2,4,260.61,49.33,211.28,0.0,0.7344,211.28
C2,5,124.03,49.33,74.7,0.0,0.3495,74.7
C2,6,0.0,0.0,0.0,0.0,0.2285,0.0
C3,1,1499.45,35.77,1463.69,2558.4,4.4603,-1094.71
C3,2,213.28,43.32,169.96,0.0,0.6344,169.96
C3,3,30.34,46.79,-16.45,0.0,0.0902,-16.45
C3,4,4.32,46.79,-42.47,0.0,0.0128,-42.47
C3,5,0.61,46.79,-46.17,0.0,0.0018,-46.17
C3,6,0.0,0.0,0.0,0.0,0.0005,0.0
