public_list,volume_factor,term_factor,service_factor,realized_rate,npv_musd,peak,vs_l3_npv,beats_l3
9.36,1.0,1.0,1.0,9.36,4761.1,1350.8,4054.6,True
9.36,1.0,1.0,1.05,9.828,5136.3,1340.2,4429.8,True
9.36,1.0,0.95,1.0,8.892,4385.8,1361.5,3679.3,True
9.36,1.0,0.95,1.05,9.337,4742.3,1351.3,4035.8,True
9.36,1.0,0.9,1.0,8.424,4010.6,1372.1,3304.1,True
9.36,1.0,0.9,1.05,8.845,4348.3,1362.5,3641.8,True
9.36,0.9,1.0,1.0,8.424,4010.6,1372.1,3304.1,True
9.36,0.9,1.0,1.05,8.845,4348.3,1362.5,3641.8,True
9.36,0.9,0.95,1.0,8.003,3672.9,1381.7,2966.4,True
9.36,0.9,0.95,1.05,8.403,3993.7,1372.6,3287.2,True
9.36,0.9,0.9,1.0,7.582,3335.2,1391.3,2628.7,True
9.36,0.9,0.9,1.05,7.961,3639.1,1382.7,2932.6,True
9.36,0.8,1.0,1.0,7.488,3260.2,1393.4,2553.7,True
9.36,0.8,1.0,1.05,7.862,3560.3,1384.9,2853.8,True
9.36,0.8,0.95,1.0,7.114,2960.0,1402.0,2253.5,True
9.36,0.8,0.95,1.05,7.469,3245.2,1393.9,2538.7,True
9.36,0.8,0.9,1.0,6.739,2659.8,1410.5,1953.3,True
9.36,0.8,0.9,1.05,7.076,2930.0,1402.8,2223.5,True
9.36,0.7,1.0,1.0,6.552,2509.7,1414.8,1803.2,True
9.36,0.7,1.0,1.05,6.88,2772.4,1407.3,2065.9,True
9.36,0.7,0.95,1.0,6.224,2247.1,1422.2,1540.6,True
9.36,0.7,0.95,1.05,6.536,2496.6,1415.1,1790.1,True
9.36,0.7,0.9,1.0,5.897,1984.4,1429.7,1277.9,True
9.36,0.7,0.9,1.05,6.192,2220.8,1423.0,1514.3,True
9.36,0.6,1.0,1.0,5.616,1759.3,1436.1,1052.8,True
9.36,0.6,1.0,1.05,5.897,1984.4,1429.7,1277.9,True
9.36,0.6,0.95,1.0,5.335,1534.2,1442.5,827.7,True
9.36,0.6,0.95,1.05,5.602,1748.0,1436.4,1041.5,True
9.36,0.6,0.9,1.0,5.054,1309.0,1448.9,602.5,True
9.36,0.6,0.9,1.05,5.307,1511.6,1443.1,805.1,True
9.36,0.5,1.0,1.0,4.68,1008.8,1457.4,302.3,True
9.36,0.5,1.0,1.05,4.914,1196.5,1452.0,490.0,True
9.36,0.5,0.95,1.0,4.446,821.2,1462.7,114.7,True
9.36,0.5,0.95,1.05,4.668,999.5,1457.6,293.0,True
9.36,0.5,0.9,1.0,4.212,633.6,1468.0,-72.9,False
9.36,0.5,0.9,1.05,4.423,802.5,1463.2,96.0,True
