case,rate_gpuh,decay_annual,npv_musd,peak_musd,project_irr
L3,,,706.5,316.5,0.2008958621850545
L4-M spot $4.25 -22%/yr,4.25,-0.22,-1622.5,3699.4,-0.0492
L4-M instance $6.90 -22%/yr,6.9,-0.22,-352.9,2372.9,0.1067
L4-M median $7.80 -22%/yr,7.8,-0.22,78.3,2362.1,0.1596
L4-M dedicated $9.36 -22%/yr,9.36,-0.22,825.6,2343.5,0.2515
C1 Fixed $9.36,9.36,0.0,4761.1,1350.8,0.8526
C2 -6%/yr $9.36 FIXED,9.36,-0.06,3843.7,1350.8,0.7596
C3 -15%/yr $9.36 FIXED,9.36,-0.15,2391.6,1361.9,0.5673
C1 bulk $7.02,7.02,0.0,2884.9,1404.1,0.5704
C2 bulk $7.02 -6%/yr,7.02,-0.06,2196.9,1404.1,0.4914
L4-S list $9.36 BS-fixed,9.36,0.0,5284.6,438.2,0.9641
L4-S bulk $7.02 BS-fixed,7.02,0.0,3277.6,499.9,0.6433
