step,npv_musd,delta_npv,peak_equity_musd,project_irr,min_dscr_contract
0 Merchant base $7.80 -22%/yr,78.3,,2362.1,0.1596,1.051
1 + Dedicated list $9.36 -22%/yr,825.6,747.3,2343.5,0.2515,1.258
2 + 5Y Fixed ToP $9.36,4761.1,3935.5,2205.8,0.8526,7.923
3 + Contracted fin lev55/kd7,4761.1,0.0,1500.8,0.8526,5.345
4 + Prepay ~$150M,4761.1,0.0,1350.8,0.8526,5.345
5 + Backstop residual-only 0.375,5284.6,523.5,1317.0,0.9641,5.555
6 + GPU-backed lev70/kd5.9+cc500,5284.6,0.0,438.2,0.9641,4.482
7a Bulk $7.02 Fixed ToP C,2884.9,-2399.7,1404.1,0.5704,4.011
7b Bulk $7.02 Fixed ToP S,3277.6,392.7,499.9,0.6433,3.363
8 C2 -6%/yr list $9.36,3843.7,566.1,1350.8,0.7596,3.945
9 C2 -6%/yr bulk $7.02,2196.9,-1646.8,1404.1,0.4914,2.961
