label,n,n_target,e_npv,p5,es5,ce05,loss_count,loss_rate,wilson_lo,wilson_hi,p50
L3_allrisk,800,800,656.5,369.7,-160.0,248.3,18,0.0225,0.0143,0.0353,681.5
L4M_M1_spot_4.25,800,800,-1754.6,-2568.7,-2710.9,-2232.7,794,0.9925,0.9837,0.9966,-1819.5
L4M_M2_ondemand_6.90,800,800,-567.4,-1871.8,-2097.8,-1332.6,623,0.7788,0.7487,0.8061,-675.8
L4M_mixref_7.80,800,800,-164.8,-1639.5,-1892.9,-1028.9,483,0.6038,0.5694,0.6371,-287.4
L4M_M3_shortded_9.36,800,800,532.8,-1241.4,-1539.7,-503.4,282,0.3525,0.3202,0.3862,386.4
L4M_gpuonly_7.80,800,800,424.4,-1050.2,-1302.2,-438.9,288,0.36,0.3275,0.3939,301.7
L4M_gpuonly_9.36,800,800,1121.9,-652.3,-949.9,86.0,135,0.1688,0.1444,0.1963,975.5
L4C_list_9.36,800,800,4289.0,2615.9,1965.4,3127.2,1,0.0013,0.0002,0.007,4691.7
L4C_illustrative_bulk_7.02,800,800,2532.3,1278.1,808.9,1670.6,3,0.0037,0.0013,0.011,2842.9
L4C_bulk_step6_7.02,800,800,1894.0,829.7,473.0,1183.5,11,0.0138,0.0077,0.0245,2164.9
L4S_list_9.36,800,800,4839.8,3288.0,2482.8,3661.3,0,0.0,0.0,0.0048,5245.9
L4S_illustrative_bulk_7.02,800,800,2945.0,1777.9,1189.7,2067.3,2,0.0025,0.0007,0.0091,3253.6
L4S_downside_5.62,800,800,1811.4,874.8,415.9,1113.7,10,0.0125,0.0068,0.0229,2061.7
