band,case,mode,ce,peak,econ_cap,delta_ce,delta_econ,delta_peak,IRASR_econ,IRASR_peak,note
low,Full-stack mix-ref $7.80,M,-979.9,2362.1,2476.7,-1291.9,2139.1,2045.6,-0.604,-0.632,screening EconCap; IRASR_econ theoretically preferred
low,GPU-only accounting $7.80,gpu,-389.9,1849.6,1943.0,-701.9,1605.4,1533.1,-0.437,-0.458,screening EconCap; IRASR_econ theoretically preferred
low,GPU-only economic $7.80,gpu,-933.9,1861.0,1954.7,-1245.9,1617.1,1544.5,-0.77,-0.807,screening EconCap; IRASR_econ theoretically preferred
low,Contracted illustrative bulk $7.02,C,1670.0,1404.1,1556.5,1358.0,1218.9,1087.6,1.114,1.249,screening EconCap; IRASR_econ theoretically preferred
low,Strategic illustrative bulk $7.02,S,2112.0,499.9,676.8,1800.0,339.2,183.4,5.307,9.815,screening EconCap; IRASR_econ theoretically preferred
base,Full-stack mix-ref $7.80,M,-979.9,2362.1,2566.0,-1291.9,2187.7,2045.6,-0.591,-0.632,screening EconCap; IRASR_econ theoretically preferred
base,GPU-only accounting $7.80,gpu,-389.9,1849.6,2026.5,-701.9,1648.1,1533.1,-0.426,-0.458,screening EconCap; IRASR_econ theoretically preferred
base,GPU-only economic $7.80,gpu,-933.9,1861.0,2037.9,-1245.9,1659.5,1544.5,-0.751,-0.807,screening EconCap; IRASR_econ theoretically preferred
base,Contracted illustrative bulk $7.02,C,1670.0,1404.1,1860.5,1358.0,1482.2,1087.6,0.916,1.249,screening EconCap; IRASR_econ theoretically preferred
base,Strategic illustrative bulk $7.02,S,2112.0,499.9,1138.9,1800.0,760.5,183.4,2.367,9.815,screening EconCap; IRASR_econ theoretically preferred
high,Full-stack mix-ref $7.80,M,-979.9,2362.1,2695.1,-1291.9,2291.8,2045.6,-0.564,-0.632,screening EconCap; IRASR_econ theoretically preferred
high,GPU-only accounting $7.80,gpu,-389.9,1849.6,2132.5,-701.9,1729.2,1533.1,-0.406,-0.458,screening EconCap; IRASR_econ theoretically preferred
high,GPU-only economic $7.80,gpu,-933.9,1861.0,2144.2,-1245.9,1740.9,1544.5,-0.716,-0.807,screening EconCap; IRASR_econ theoretically preferred
high,Contracted illustrative bulk $7.02,C,1670.0,1404.1,2040.3,1358.0,1637.0,1087.6,0.83,1.249,screening EconCap; IRASR_econ theoretically preferred
high,Strategic illustrative bulk $7.02,S,2112.0,499.9,1361.5,1800.0,958.2,183.4,1.879,9.815,screening EconCap; IRASR_econ theoretically preferred
